id;name;phone;address
1;Steel Graphical User Interface;"4675515802";sky blue synergies
2;mindshare Response;"8846467106";Louisiana port
3;methodical Cambridgeshire;"+003829388113";regional Frozen Checking Account
4;Cocos (Keeling) Islands;"+11441926842";Fantastic Fresh Table action-items human-resource
5;Handcrafted Plastic Table turn-key deposit;"2700270039";firmware
6;Vatu;"5991968854";JSON Creative digital
7;application;"3522036470";synthesize
8;yellow;"+233900703064";Falkland Islands Pound
9;auxiliary;"1162868590";Tuna Intelligent
10;contextually-based paradigm open-source;"4397641714";Gorgeous Wooden Salad channels Czech Koruna
